d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Palsa-739;s__	2251132.8018867923	2311525.5	212
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium	3115501.230769231	3101813.0	39
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__	3119761.878787879	3101813.0	33
d__Bacteria;p__Acidobacteriota;c__Terriglobia	4093373.483767535	3892859.0	2495
d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales	4086580.2252794495	3927663.0	1163
d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__JAIQGF01	2874569.12	2978848.0	25
d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__JAIQGF01;g__JAIQGF01	3032383.875	3338570.0	16
d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__JAIQGF01;g__JAIQGF01;s__	3032383.875	3338570.0	16
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria	3221285.925873274	3007899.0	4924
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales	3374612.703111111	3160028.5	2250
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B	4045615.35235732	3973417.0	403
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__	4314327.7	4113013.0	10
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__;s__	4314327.7	4113013.0	10
d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Microlunatus	3925025.4	3857250.5	10
d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Microlunatus;s__	3925025.4	3857250.5	10
d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__JAFAQB01	2272674.789473684	2152359.5	38
