"oxygen tolerance","pH optimum","salinity optimum","temperature optimum","doubling time","genome size","GC content","gene density","proportion free living","biosynthetic clusters","proportion_RS_genomes","Uncultivated"
0,8.48835798904243,4.90041477028976,52.4800482380165,6.5873082,1286211.16410984,0.34,1.22513133428598,0,0,0,"Uncultivated"
0,6.54292698452466,2.29706305903201,45.8339561950354,4.626136,1230762.67095736,0.29,1.44590472978185,0,0,0,"Uncultivated"
0,7.12675883752626,5.1621878061257,45.6622827177467,21.46585,1247902.51805846,0.315,1.25389419006347,0,0,0,"Uncultivated"
0,7.67456945176105,4.18454768850857,54.6843083088864,6.941013,1241437.33137111,0.3,1.19632350326198,0,0,0,"Uncultivated"
0,8.34763697717224,4.94450279723375,52.4111313728347,6.437681,1093977.31875253,0.29,1.20941517371768,0,0,0,"Uncultivated"
0,7.26639896988054,5.69596508488022,53.3050549927072,5.841167,892231.484450144,0.28,1.22535368163083,0,0,0,"Uncultivated"
0,8.55681837293418,2.93450977057563,45.706022892079,7.99526625,1089221.01819669,0.28,1.18074876403815,0,0,0,"Uncultivated"
0,7.75330774373099,4.91365947092923,47.5691401340712,5.693137,1608916.08929946,0.27,1.20862284938339,0,0,0,"Uncultivated"
0,8.4516080243451,3.71410522556758,45.81764594099,372.655466666667,1160396.1827646,0.43,1.2448132780083,0,0,0,"Uncultivated"
0,7.58599365512821,5.6886742462619,50.5706359858662,10.7888,952477.359629704,0.32,1.24791381859871,0,0,0,"Uncultivated"
0,7.0421627786156,3.3841606830017,57.4964897075105,6.777455,1429881.43435512,0.32,1.14469929396727,0,0,0,"Uncultivated"
0,7.8373870364591,4.76491524487074,52.3302138625076,9.3161434,1028808.01687764,0.35,1.30580183990209,0,0,0,"Uncultivated"
0,7.40338538315877,6.77455034813008,57.3803893094768,7.638302,831979.280261723,0.37,1.24520758921257,0,0,0,"Uncultivated"
0,7.59692535189042,4.08834453129636,57.4943700398025,6.955282,1069318.18181818,0.29,1.30320487723027,0,0,0,"Uncultivated"
0,7.94984764924219,3.88085693956712,48.9004926214349,7.958108,1105848.75650665,0.34,1.18330816351881,0,0,0,"Uncultivated"
0,8.3362312041709,2.94204051582516,50.5637174206944,13.23998,982754.352557127,0.39,1.13076298128359,0,0,0,"Uncultivated"
