tip,tSNE1,tSNE2
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__JAGVWU01,49.3247,-2.328539
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__JAGVXA01,48.83864,7.0881405
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__JAGVXD01,46.789925,-7.01237
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__JAGVXH01,41.273796,19.034973
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__JAGVXI01,53.763577,2.6633356
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__JAGVXK01,49.612965,2.3547857
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__JAGVXM01,49.932316,6.1275544
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__JAIFVW01,47.10402,9.266769
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__JAKLIN01,53.597034,3.3273497
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__JWKY01,55.836376,0.74759024
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__MNVX01,52.87395,23.701092
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__RBG-13-33-26,53.722435,1.4799315
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__UBA73,52.835598,6.572724
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__WJLC01,57.36568,-0.8379943
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__UBA12030;g__UBA12030,51.010868,-0.17789143
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__ARS1403;g__JAGVZL01,50.52518,14.560792
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__GW2011-AR17;g__GW2011-AR17,51.12481,-4.7608333
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__GW2011-AR17;g__JAGVZZ01,55.197666,1.825184
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__GW2011-AR18;g__GW2011-AR18,45.282837,-1.8140223
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__GW2011-AR18;g__JACPCE01,45.074,-0.37716615
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__GW2011-AR18;g__JAGVXZ01,51.025177,-0.17213942
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__GW2011-AR18;g__JAGVZM01,45.994755,0.28195974
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__GW2011-AR18;g__JAGVZW01,54.63619,2.1348984
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__GW2011-AR18;g__JAGWAD01,44.81636,-0.98079574
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__GW2011-AR18;g__JAHFKM01,53.887062,-2.3980842
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__GW2011-AR20;g__GW2011-AR20,55.1731,2.8397264
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__GW2011-AR20;g__JAGVYY01,56.305096,-12.2046585
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__GW2011-AR20;g__JAGVZJ01,55.05961,9.44041
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__GW2011-AR20;g__JAGVZK01,56.82368,2.7777333
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__JACPIM01;g__JAGWAC01,55.697815,2.4661758
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__JACPNG01;g__JAGVYC01,49.73416,2.2509983
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__JACPNG01;g__JAGVYI01,46.20111,-1.1690227
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__JAGVZF01;g__JAGVZF01,45.90639,5.088541
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__JAGVZH01;g__JAGVZH01,44.910095,-0.66038895
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__PNOQ01;g__PNOQ01,56.090004,-2.4213932
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__UBA489;g__JACOVP01,54.109543,-2.2554047
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__UBA10117;f__UBA10117;g__CAIPHS01,55.118084,9.2731695
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__UBA10117;f__UBA10117;g__JAGVWH01,55.292416,2.1924813
